Product,Delivery,"Price (€/MWh)"
Within-day,19/12,"89,00"
Day,20/12,"87,50"
Day,21/12,"88,00"
Day,22/12,"88,00"
Weekend,"24/12 - 27/12",-
"Balance of month","December 2022","113,00"
Month,"January 2023","96,46"
Month,"February 2023","97,50"
Month,"March 2023","99,18"
Quarter,"Q1 2023","99,90"
Quarter,"Q2 2023","99,81"
Quarter,"Q3 2023","102,23"
Quarter,"Q4 2023","102,45"
Semester,"Summer 2023","101,03"
Semester,"Winter 2023","100,55"
Semester,"Summer 2024","72,43"
Year,2023,"101,68"
Year,2024,"78,49"
